t,TMEAN_M,TMIN_M,TQ1_M,TMED_M,TQ3_M,TMAX_M,TMEAN_C,TMIN_C,TQ1_C,TMED_C,TQ3_C,TMAX_C
1.0012e+06,1.7019e+02,1.5000e+02,1.7083e+02,1.7083e+02,1.7083e+02,1.7083e+02,1.5070e+02,1.5000e+02,1.5024e+02,1.5024e+02,1.5024e+02,1.6940e+02
1.0020e+06,1.8369e+02,1.5000e+02,1.8486e+02,1.8486e+02,1.8486e+02,1.8486e+02,1.5118e+02,1.5000e+02,1.5040e+02,1.5040e+02,1.5040e+02,1.8199e+02
1.0027e+06,1.9645e+02,1.5000e+02,1.9817e+02,1.9817e+02,1.9817e+02,1.9817e+02,1.5165e+02,1.5000e+02,1.5055e+02,1.5055e+02,1.5055e+02,1.9363e+02
1.0035e+06,2.0876e+02,1.5000e+02,2.1103e+02,2.1103e+02,2.1103e+02,2.1103e+02,1.5211e+02,1.5000e+02,1.5069e+02,1.5069e+02,1.5069e+02,2.0461e+02
1.0042e+06,2.2073e+02,1.5000e+02,2.2356e+02,2.2356e+02,2.2356e+02,2.2356e+02,1.5257e+02,1.5000e+02,1.5084e+02,1.5084e+02,1.5084e+02,2.1509e+02
1.0049e+06,2.3241e+02,1.5000e+02,2.3581e+02,2.3581e+02,2.3581e+02,2.3581e+02,1.5302e+02,1.5000e+02,1.5098e+02,1.5098e+02,1.5098e+02,2.2515e+02
1.0055e+06,2.4385e+02,1.5000e+02,2.4782e+02,2.4782e+02,2.4782e+02,2.4782e+02,1.5347e+02,1.5000e+02,1.5111e+02,1.5111e+02,1.5112e+02,2.3485e+02
1.0062e+06,2.5507e+02,1.5000e+02,2.5962e+02,2.5962e+02,2.5962e+02,2.5962e+02,1.5392e+02,1.5000e+02,1.5125e+02,1.5125e+02,1.5125e+02,2.4423e+02
1.0069e+06,2.6610e+02,1.5000e+02,2.7124e+02,2.7124e+02,2.7124e+02,2.7124e+02,1.5436e+02,1.5000e+02,1.5138e+02,1.5138e+02,1.5139e+02,2.5334e+02
1.0075e+06,2.6914e+02,1.5000e+02,2.7414e+02,2.7415e+02,2.7416e+02,2.7417e+02,1.5481e+02,1.5000e+02,1.5151e+02,1.5151e+02,1.5152e+02,2.6125e+02
1.0108e+06,2.7293e+02,1.5000e+02,2.7770e+02,2.7771e+02,2.7772e+02,2.7777e+02,1.5666e+02,1.5000e+02,1.5216e+02,1.5216e+02,1.5221e+02,2.7344e+02
1.0140e+06,2.7635e+02,1.5000e+02,2.8123e+02,2.8124e+02,2.8125e+02,2.8141e+02,1.5821e+02,1.5000e+02,1.5281e+02,1.5281e+02,1.5294e+02,2.7802e+02
1.0172e+06,3.0799e+02,1.5000e+02,3.1473e+02,3.1537e+02,3.1626e+02,3.1640e+02,1.5970e+02,1.5000e+02,1.5346e+02,1.5346e+02,1.5375e+02,2.8831e+02
1.0205e+06,3.6072e+02,1.5000e+02,3.7143e+02,3.7204e+02,3.7281e+02,3.7308e+02,1.6135e+02,1.5000e+02,1.5412e+02,1.5412e+02,1.5465e+02,3.1755e+02
1.0237e+06,4.1271e+02,1.5000e+02,4.2725e+02,4.2787e+02,4.2856e+02,4.2891e+02,1.6318e+02,1.5000e+02,1.5476e+02,1.5476e+02,1.5563e+02,3.5253e+02
1.0269e+06,4.6325e+02,1.5000e+02,4.8153e+02,4.8217e+02,4.8281e+02,4.8321e+02,1.6514e+02,1.5000e+02,1.5539e+02,1.5539e+02,1.5670e+02,3.8753e+02
1.0299e+06,5.1192e+02,1.5000e+02,5.3383e+02,5.3448e+02,5.3507e+02,5.3550e+02,1.6753e+02,1.5000e+02,1.5600e+02,1.5600e+02,1.5783e+02,4.2328e+02
1.0329e+06,5.5788e+02,1.5000e+02,5.8326e+02,5.8393e+02,5.8446e+02,5.8493e+02,1.7009e+02,1.5000e+02,1.5658e+02,1.5659e+02,1.5902e+02,4.5814e+02
